
Begin to print decoded frame status ...
Frame ID: 260; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 261; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 262; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 263; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 264; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 265; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 266; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 267; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 268; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 269; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 270; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 271; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 272; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 273; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 274; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 275; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 276; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 277; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 278; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 279; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 280; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 281; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 282; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 283; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 284; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 285; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 286; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 287; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 288; currentDecodedFrame: 0; DecodedFrame: 1
Frame ID: 289; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 290; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 291; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 292; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 293; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 294; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 295; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 296; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 297; currentDecodedFrame: 1; DecodedFrame: 1
Frame ID: 298; currentDecodedFrame: 0; DecodedFrame: 0
Frame ID: 299; currentDecodedFrame: 0; DecodedFrame: 0
End to print decoded frame status ...

